gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,HasInternetService
1,2.273158691738958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9866476506990535,0,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2.169604628033081,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.8527369395427105,1,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0.512776966834073,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.590098534924677,1,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.5313291535076098,1,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.7878239155031971,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1.1324093160330198,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,1,0,0,-0.8508602024531327,0,0
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.2147870346355447,0,1
0,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.5691950841973259,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.8217541295582058,0,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9631332389296379,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9354016885236417,1,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.8246244333422659,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.9479812582772189,0,1
0,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.7070523744951881,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,-0.35021298473341644,1,1
0,2.273158691738958,1,0,1,0,0,0,0,0,0,0,0,0,1,1,-0.23937510014894126,0,1
0,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,1,1,-0.7217186114303048,1,1
0,2.273158691738958,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.9765297412986782,0,1
1,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.24794185298136678,1,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1.765620410056559,0,1
1,2.273158691738958,1,1,1,0,1,0,0,0,0,0,0,1,1,0,2.1541049875991565,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,1,-0.632032657808365,0,0
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2.4112400481311878,0,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1.0791982997285208,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.3752811746842604,0,1
1,-0.43991649313097614,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33190366991853126,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,1,1,-0.5742291554493698,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.6314585970515529,1,1
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.9068752847620596,0,1
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0.6309010071780856,0,1
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07755059613105031,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.5617322943587696,0,0
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.6540236006462409,0,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9849696269483721,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,1,1,0,-0.5381958033294766,0,0
1,2.273158691738958,1,1,1,0,1,0,0,0,0,0,0,0,1,0,2.1473487340766764,0,1
1,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,1,0,-0.3427060363751054,0,0
0,-0.43991649313097614,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.9211826451626055,0,1
0,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.725899821537142,0,1
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.12378456631429546,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.8135683325202285,0,1
1,2.273158691738958,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.016374575387347726,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-0.4919618331462314,0,0
0,-0.43991649313097614,0,1,1,0,1,0,0,0,0,0,0,0,1,0,-0.9715895954626766,1,1
0,-0.43991649313097614,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.7610859317916833,0,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.7743334877181144,1,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.9185054463409088,0,1
0,-0.43991649313097614,1,0,1,0,0,1,1,1,1,1,1,0,1,0,-0.5706302360893559,0,0
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,-0.611984689839699,0,1
0,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.04607117992243122,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.5689301330787973,0,0
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,1,0,-0.601386645098554,0,0
1,-0.43991649313097614,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5744278687882662,0,1
1,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.08033258287560076,0,1
1,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.9736429666312735,0,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1.4415189543164169,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2.1808429713106703,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.2013987622565163,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.5882715647313869,1,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1.0892885214924857,0,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.9601525388461909,1,0
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.5244183451659881,0,0
0,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.08077416807314847,1,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.9977093598976237,0,0
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.9980405487957844,0,0
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.5874931822591457,0,1
0,2.273158691738958,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.320908198499593,0,1
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2.2964278967687832,1,1
1,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9529767793860405,0,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,1,1,0,2.30472969848268,0,1
0,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.5805879822940567,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.7849038448228493,0,1
1,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,1,-0.3898231769534461,0,0
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1.3431558515626643,1,1
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.32404345340218194,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.7336358033875604,0,1
0,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.24327752077070575,1,1
0,-0.43991649313097614,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.5364459334226305,0,1
1,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.8876000908891022,0,1
0,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5130254470692571,0,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,1,0,-0.5639402203465081,1,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.6327612733843186,0,0
1,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0.009193207550664722,0,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1.4613019711665542,0,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.9517844993526619,0,0
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9080675647954386,1,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.849910794278405,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.9698011754126082,0,0
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.2895777287335831,0,1
0,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.07605481483592076,1,1
1,-0.43991649313097614,1,0,1,0,0,1,1,1,1,1,1,0,1,0,-0.25787751992619024,0,0
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.9979080732365201,0,0
1,2.273158691738958,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.763222011623257,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.5132241604081536,0,1
0,-0.43991649313097614,1,1,0,1,0,0,0,0,0,0,0,0,1,1,-0.35970706648069223,1,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.48895344542637414,0,1
1,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.9909751856350211,1,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9674607738656056,1,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,1,1,-0.5186335790781131,0,0
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.24489491511828765,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.4357480374984079,0,0
1,-0.43991649313097614,0,1,1,0,0,1,1,1,1,1,1,0,1,0,-0.5132903981877858,0,0
0,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9755197037208513,1,1
0,2.273158691738958,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1.7928441374853745,0,1
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7552790864439308,1,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1.7153238560558743,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1.3758110769213174,0,1
1,2.273158691738958,1,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.2557358317180839,0,0
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1.8364065172234565,0,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-0.9806641712722819,0,0
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.9864710166200343,1,1
1,-0.43991649313097614,0,1,1,0,0,0,0,0,0,0,0,1,0,1,-0.15216202363326856,0,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.5462768124445997,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.7644640585529231,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7129752245188602,1,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,1,1,1,2.336391357146851,0,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.350640720661098,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.9544340105379481,0,0
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,1,0,-0.506489986145551,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.1891227046680118,0,1
1,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,1,0,0,-0.8108746628151875,0,0
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.5526797978090415,0,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.8931419851183259,0,0
0,-0.43991649313097614,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.6851553570733545,0,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.2788969753294613,1,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9450724043499366,0,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.7229273623470285,0,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,1,0,0,-0.9065661751237764,0,0
1,-0.43991649313097614,1,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.40028874613532683,0,0
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.8813958188635568,1,1
1,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1.8246382717088097,0,1
1,2.273158691738958,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.15359156714876568,1,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.8624959724085147,0,0
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0.593123393527879,0,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9144263916401254,1,1
1,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4999986837415997,0,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1.2132414864441277,1,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-0.7162429549807133,0,0
0,-0.43991649313097614,1,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.6357861319875205,0,0
0,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.5134891115266822,1,1
0,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7703150624204304,1,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,1,0,-0.30881437246331866,0,1
1,-0.43991649313097614,1,0,1,0,0,1,1,1,1,1,1,1,1,1,-0.4530802565021555,0,0
0,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9934039042215335,1,1
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.986625571439176,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7081177873458354,1,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0.08265090516272623,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.5516862311145592,1,1
0,-0.43991649313097614,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.995678067988904,1,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.5491471162286599,0,1
1,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9663568108717363,0,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-0.8938264421745248,0,0
0,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.00688049364007196,0,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.3586195743701677,0,1
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.7655238630270377,1,1
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.40485915292994556,0,0
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2.4811871434227455,0,1
1,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,0,1,-0.5037963164405099,0,0
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.1539283644234594,0,1
1,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,0,1,0,-0.7512165026264919,0,0
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.8944308121812252,0,1
1,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,1,0,2.5622621856925045,0,1
1,-0.43991649313097614,0,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.9974664880389723,0,0
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0.20830397312492718,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,-0.5117448499963687,0,1
1,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2.3026321687943287,0,1
1,-0.43991649313097614,0,1,1,0,1,0,0,0,0,0,0,0,1,1,-0.5571398083042733,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.3311088165629451,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0.15842692506191322,0,1
1,-0.43991649313097614,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0.75635536180139,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.9713467236040253,1,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.11224272177495562,1,1
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1.8887564423927374,0,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-0.966003542713698,1,1
0,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9954793546500077,0,1
1,-0.43991649313097614,0,1,1,0,0,1,1,1,1,1,1,0,0,0,-0.4746296141424837,0,0
0,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,1,0,0,-0.7505099663104156,0,0
1,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.1250486925038392,0,1
0,-0.43991649313097614,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.47212904939980643,0,1
1,-0.43991649313097614,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.43205519272235177,0,1
1,-0.43991649313097614,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.642956283071138,0,1
1,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1.4101664052905294,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.724014854457553,0,1
0,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.8827205744562,1,1
0,-0.43991649313097614,1,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.230653792497374,0,0
1,-0.43991649313097614,1,1,1,0,0,1,1,1,1,1,1,1,1,0,-0.9977093598976237,0,0
1,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9182240243390359,1,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,1,1,0,-0.904093298017509,0,0
1,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-0.4703683169861483,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0.1042444213228093,0,1
0,-0.43991649313097614,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9822538779834539,1,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0.18432589689808646,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.7637298346004366,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1.5686954912101572,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1.0577814176474567,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9692712731755512,1,1
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,1,-0.3627981628635262,0,0
0,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.6845592170566651,0,0
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.9585849113948964,1,1
0,-0.43991649313097614,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.8759201624139652,0,1
1,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.4251941512770176,0,1
0,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.5451728494507304,1,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-0.867088458463011,0,0
0,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.746742642861394,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.4652900763110277,0,1
0,-0.43991649313097614,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.3458136036412841,0,1
0,2.273158691738958,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1.702937391264661,0,1
0,2.273158691738958,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.6920440861550987,0,1
1,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.8735356023472075,0,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.17019517057655975,0,1
1,2.273158691738958,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.5138203004248431,1,1
1,-0.43991649313097614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.9851904195471459,1,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0.8294818705152908,0,1
0,-0.43991649313097614,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1.0990696336181676,0,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.9444541850733696,1,1
1,2.273158691738958,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9888776559466694,1,1
1,-0.43991649313097614,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0.17611241222369908,0,1
1,-0.43991649313097614,0,0,1,0,0,1,1,1,1,1,1,0,1,0,-0.918974719174867,0,0
0,-0.43991649313097614,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.7552293195476433,0,1
0,-0.43991649313097614,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2.093784449614139,0,1
1,-0.43991649313097614,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1.5181339860909444,0,1
